epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.154,2.21915,4.21464,2.10321,0.62096,0.07576,0.10448,0.02682,2.18339,3.35206,2.44335,0.00330218,0.00330218,0.0702804
2,504.688,2.0914,3.27215,1.972,0.62468,0.10907,0.09451,0.02432,2.48913,6.21343,3.11649,0.00663501,0.00663501,0.0402799
3,558.135,2.18928,3.18136,2.1148,0.02594,0.05556,0.01192,0.00259,2.84993,14.5981,5.47064,0.00996584,0.00996584,0.0102774
4,611.682,2.26316,3.02306,2.24481,0.04001,0.13636,0.01996,0.00445,2.80815,15.7825,4.04455,0.00999322,0.00999322,0.00999322
5,664.015,2.19993,2.84987,2.24217,0.67856,0.09596,0.0996,0.02674,2.57682,3.81626,3.14579,0.00998794,0.00998794,0.00998794
6,716.1,2.17269,2.65115,2.19674,0.11793,0.1446,0.05588,0.01893,2.60742,7.67716,3.50576,0.00998116,0.00998116,0.00998116
7,768.507,2.13087,2.48964,2.16325,0.26347,0.2193,0.16304,0.03978,2.46032,4.18926,2.84895,0.00997288,0.00997288,0.00997288
8,820.685,2.1524,2.41861,2.0829,0.11291,0.23232,0.12622,0.04704,2.30557,3.67374,2.63126,0.0099631,0.0099631,0.0099631
9,872.265,2.02699,2.32972,2.0873,0.44775,0.33292,0.24145,0.08411,2.19647,2.49285,2.4774,0.00995183,0.00995183,0.00995183
10,923.293,2.04586,2.29485,2.0752,0.3778,0.30627,0.30021,0.0849,2.24452,3.40636,2.67069,0.00993906,0.00993906,0.00993906
11,976.436,2.04307,2.28651,2.05542,0.34333,0.34157,0.25229,0.07814,2.16269,2.12368,2.43824,0.0099248,0.0099248,0.0099248
12,1025.76,1.95224,2.18548,2.05531,0.19267,0.33945,0.21969,0.06805,2.28723,2.09857,2.53404,0.00990905,0.00990905,0.00990905
13,1079.1,2.00213,2.2189,1.99345,0.22517,0.35773,0.27677,0.08933,2.23313,2.17284,2.50025,0.00989183,0.00989183,0.00989183
14,1131.17,2.01031,2.21027,2.03837,0.1973,0.30409,0.27532,0.0956,2.16279,2.08396,2.3915,0.00987313,0.00987313,0.00987313
15,1173.62,2.00757,2.18188,1.99798,0.23839,0.39819,0.24406,0.08601,2.15271,2.14374,2.36886,0.00985296,0.00985296,0.00985296
16,1217.1,1.98333,2.17655,1.99969,0.3514,0.43567,0.34559,0.11206,2.19117,1.83289,2.42321,0.00983133,0.00983133,0.00983133
17,1273.07,2.02449,2.14288,2.01211,0.82518,0.26768,0.37823,0.1464,2.06877,1.8724,2.40319,0.00980825,0.00980825,0.00980825
18,1325.73,1.95235,2.08314,1.95353,0.25165,0.33508,0.18131,0.07138,2.24402,2.97998,2.51529,0.00978371,0.00978371,0.00978371
19,1379.73,1.93533,2.05805,1.99217,0.38802,0.59796,0.43414,0.16855,2.00696,1.63807,2.27649,0.00975773,0.00975773,0.00975773
20,1426.69,1.96404,2.04578,1.92176,0.6354,0.32935,0.33485,0.13678,1.98212,2.09251,2.24166,0.00973032,0.00973032,0.00973032
21,1475.15,1.84422,2.02268,1.91001,0.54405,0.37294,0.37058,0.12121,2.23537,1.82302,2.43826,0.00970148,0.00970148,0.00970148
22,1527.94,1.90631,1.9975,1.91326,0.34186,0.42482,0.38185,0.14243,2.08259,1.73717,2.39282,0.00967122,0.00967122,0.00967122
23,1579.2,1.92848,2.01264,1.97022,0.25923,0.42132,0.37225,0.16234,1.88539,1.73915,2.1494,0.00963956,0.00963956,0.00963956
24,1633.96,1.84443,1.95009,1.93457,0.44163,0.55385,0.40868,0.15886,1.99078,1.63857,2.24615,0.0096065,0.0096065,0.0096065
25,1679.75,1.88962,1.94214,1.9502,0.40241,0.50914,0.47967,0.19632,1.97286,1.55003,2.26245,0.00957205,0.00957205,0.00957205
26,1725.14,1.89126,1.94945,1.90419,0.38121,0.563,0.4757,0.18278,1.98237,1.56828,2.20615,0.00953622,0.00953622,0.00953622
27,1780.62,1.87753,1.98249,1.94619,0.4019,0.57871,0.49089,0.17395,1.93515,1.6237,2.22916,0.00949903,0.00949903,0.00949903
28,1826.57,1.89294,1.87943,1.86911,0.40863,0.63902,0.43274,0.18008,2.10823,1.51474,2.34578,0.00946048,0.00946048,0.00946048
29,1870.33,1.87617,1.94486,1.92493,0.28751,0.46996,0.37168,0.14282,1.9647,1.62558,2.13449,0.00942059,0.00942059,0.00942059
30,1921.36,1.95976,1.91475,1.83904,0.44879,0.53292,0.42196,0.16962,1.9633,1.71697,2.17893,0.00937937,0.00937937,0.00937937
31,1975.97,1.88008,1.92073,1.90752,0.37462,0.52658,0.50047,0.20299,2.04913,1.5968,2.24322,0.00933683,0.00933683,0.00933683
32,2020.96,1.8364,1.88558,1.86863,0.52046,0.46996,0.43201,0.17414,2.02632,1.50764,2.22773,0.00929298,0.00929298,0.00929298
33,2068.5,1.81502,1.83675,1.86366,0.40798,0.60164,0.46751,0.16764,1.95648,1.49578,2.22328,0.00924784,0.00924784,0.00924784
34,2113.16,1.89908,1.86838,1.90195,0.39165,0.54599,0.38778,0.15314,2.08993,1.62635,2.21242,0.00920142,0.00920142,0.00920142
35,2167.43,1.85211,1.86467,1.8637,0.47525,0.65816,0.53572,0.23249,1.94486,1.33767,2.10802,0.00915374,0.00915374,0.00915374
36,2213.38,1.84626,1.84133,1.85666,0.44682,0.65205,0.58708,0.21355,1.94545,1.37772,2.18075,0.0091048,0.0091048,0.0091048
37,2265.29,1.80631,1.80578,1.85782,0.40912,0.52658,0.49082,0.17908,1.88969,1.45446,2.13176,0.00905463,0.00905463,0.00905463
38,2307.31,1.86136,1.80286,1.82515,0.35221,0.58424,0.49637,0.19411,1.88239,1.3954,2.11859,0.00900325,0.00900325,0.00900325
39,2349.42,1.80848,1.80025,1.82363,0.39031,0.55623,0.51113,0.21769,1.91069,1.55099,2.06693,0.00895065,0.00895065,0.00895065
40,2392.93,1.83267,1.83559,1.88035,0.46044,0.44365,0.46733,0.18476,1.92527,1.60283,2.12203,0.00889687,0.00889687,0.00889687
41,2436.16,1.86209,1.81647,1.832,0.45845,0.52153,0.47593,0.17897,2.04796,1.51441,2.35894,0.00884192,0.00884192,0.00884192
42,2487.36,1.86562,1.81492,1.82008,0.59432,0.52962,0.53734,0.2255,2.0017,1.3727,2.22636,0.00878581,0.00878581,0.00878581
43,2539.01,1.79354,1.81077,1.83609,0.49922,0.64301,0.49051,0.18907,2.03332,1.33805,2.31056,0.00872857,0.00872857,0.00872857
44,2585.94,1.81173,1.8128,1.85406,0.44983,0.62679,0.52273,0.2245,1.92587,1.41193,2.1489,0.0086702,0.0086702,0.0086702
45,2629.88,1.8124,1.75077,1.79909,0.5261,0.60659,0.59935,0.23813,2.01813,1.39412,2.31809,0.00861073,0.00861073,0.00861073
46,2679.67,1.8017,1.74516,1.86037,0.48739,0.563,0.55636,0.24306,1.9067,1.29296,2.09679,0.00855018,0.00855018,0.00855018
47,2722.74,1.82001,1.73792,1.81331,0.68588,0.55715,0.61408,0.24666,1.94719,1.36872,2.20249,0.00848856,0.00848856,0.00848856
48,2771.17,1.80899,1.72979,1.80336,0.53692,0.60766,0.5792,0.25251,1.86901,1.41938,1.99838,0.00842589,0.00842589,0.00842589
49,2814.78,1.74543,1.71309,1.81346,0.64653,0.60048,0.66799,0.2782,1.89722,1.35941,2.1183,0.0083622,0.0083622,0.0083622
50,2866.16,1.77905,1.70378,1.8356,0.72717,0.59862,0.67024,0.25708,1.97639,1.31445,2.2736,0.00829749,0.00829749,0.00829749
51,2909.31,1.77113,1.74409,1.82765,0.67078,0.5824,0.57451,0.25496,1.83963,1.46509,2.1161,0.0082318,0.0082318,0.0082318
52,2952.22,1.7683,1.71443,1.80595,0.64341,0.60461,0.67048,0.26435,1.91016,1.28525,2.12956,0.00816514,0.00816514,0.00816514
53,2994.87,1.78606,1.7175,1.76911,0.58079,0.66878,0.59586,0.25846,1.94956,1.37161,2.13623,0.00809752,0.00809752,0.00809752
54,3048.16,1.71171,1.67198,1.81057,0.61366,0.56265,0.58757,0.25214,1.89201,1.35631,2.10494,0.00802898,0.00802898,0.00802898
55,3099.54,1.73067,1.67314,1.77583,0.53961,0.72921,0.60941,0.26935,1.86885,1.42355,2.15224,0.00795954,0.00795954,0.00795954
56,3147.91,1.75848,1.67445,1.8189,0.57405,0.65543,0.61914,0.29989,1.80421,1.26804,2.02957,0.0078892,0.0078892,0.0078892
57,3192.8,1.79792,1.71867,1.78707,0.58859,0.62573,0.6542,0.27312,1.81219,1.26054,2.05056,0.007818,0.007818,0.007818
58,3235.26,1.67795,1.67484,1.82721,0.56864,0.54984,0.57173,0.26079,1.76724,1.3246,1.99577,0.00774596,0.00774596,0.00774596
59,3276.82,1.743,1.69686,1.79168,0.58657,0.69088,0.60575,0.24843,1.77036,1.15208,2.02364,0.0076731,0.0076731,0.0076731
60,3318.23,1.75485,1.66553,1.77043,0.58891,0.71189,0.69172,0.29026,1.82689,1.24441,2.14037,0.00759944,0.00759944,0.00759944
61,3363.39,1.73864,1.67775,1.81915,0.60147,0.72701,0.69616,0.29048,1.89329,1.26998,2.13801,0.007525,0.007525,0.007525
62,3408.25,1.74499,1.65138,1.79471,0.69441,0.69435,0.6961,0.30962,1.77219,1.19726,1.98439,0.00744981,0.00744981,0.00744981
63,3463.8,1.75178,1.66907,1.80356,0.70722,0.58639,0.62625,0.2716,1.86268,1.2424,2.06307,0.00737388,0.00737388,0.00737388
64,3509.68,1.73926,1.63548,1.82644,0.60505,0.69856,0.63688,0.2562,1.90676,1.24146,2.16466,0.00729725,0.00729725,0.00729725
65,3553.04,1.714,1.63569,1.76738,0.69799,0.64912,0.67168,0.3117,1.77073,1.11666,2.04179,0.00721994,0.00721994,0.00721994
66,3597.14,1.67685,1.61981,1.79035,0.73466,0.6229,0.65392,0.30904,1.75899,1.16396,2.01962,0.00714196,0.00714196,0.00714196
67,3644.29,1.71952,1.58731,1.71274,0.65422,0.63397,0.68343,0.30788,1.77437,1.09793,2.01791,0.00706335,0.00706335,0.00706335
68,3691.1,1.70471,1.59876,1.77307,0.68219,0.58533,0.63326,0.3012,1.74816,1.13779,2.03632,0.00698412,0.00698412,0.00698412
69,3735.22,1.7533,1.62602,1.77642,0.55606,0.69564,0.67269,0.26952,1.79252,1.21324,2.04362,0.0069043,0.0069043,0.0069043
70,3785.69,1.76997,1.63917,1.75057,0.65914,0.63291,0.61051,0.28024,1.93555,1.29662,2.08935,0.00682392,0.00682392,0.00682392
71,3829.01,1.71837,1.61481,1.76059,0.67464,0.67034,0.71806,0.34336,1.66319,1.14735,1.93202,0.006743,0.006743,0.006743
72,3872.44,1.74623,1.61577,1.74902,0.75716,0.70416,0.73015,0.32657,1.80866,1.17504,2.04255,0.00666156,0.00666156,0.00666156
73,3917.64,1.6659,1.5662,1.73566,0.70866,0.56114,0.6453,0.27078,1.70944,1.2536,2.00925,0.00657963,0.00657963,0.00657963
74,3961.57,1.70503,1.58566,1.74539,0.60031,0.72701,0.67397,0.29456,1.72688,1.12176,2.03666,0.00649724,0.00649724,0.00649724
75,4003.51,1.71318,1.56477,1.73589,0.81975,0.65417,0.7229,0.34411,1.85575,1.15584,2.05715,0.0064144,0.0064144,0.0064144
76,4047.27,1.68365,1.59827,1.75046,0.88947,0.62565,0.72844,0.29606,1.77659,1.19631,2.01829,0.00633115,0.00633115,0.00633115
77,4093.4,1.74777,1.63339,1.72432,0.70607,0.68654,0.74995,0.37414,1.64153,1.10003,1.95971,0.00624751,0.00624751,0.00624751
78,4137.93,1.65833,1.54164,1.76666,0.72305,0.62845,0.70639,0.35262,1.59518,0.97507,1.88799,0.00616351,0.00616351,0.00616351
79,4178.8,1.73879,1.59094,1.71577,0.76669,0.67778,0.72341,0.37301,1.66475,1.0784,1.96997,0.00607916,0.00607916,0.00607916
80,4224.34,1.74035,1.59265,1.74798,0.73491,0.62924,0.69252,0.36114,1.56766,1.05951,1.85374,0.0059945,0.0059945,0.0059945
81,4268.44,1.63892,1.53238,1.74299,0.84396,0.62511,0.76786,0.4204,1.57506,0.96569,1.89214,0.00590956,0.00590956,0.00590956
82,4307.9,1.6997,1.57105,1.68721,0.74361,0.70973,0.70251,0.342,1.69817,1.09777,1.99722,0.00582435,0.00582435,0.00582435
83,4360.83,1.68634,1.5643,1.70654,0.7935,0.66029,0.76303,0.3854,1.58138,0.97528,1.92471,0.00573891,0.00573891,0.00573891
84,4404.3,1.70204,1.54907,1.73153,0.80211,0.60886,0.73356,0.35352,1.62012,1.01189,1.94585,0.00565325,0.00565325,0.00565325
85,4444.94,1.65396,1.51231,1.71667,0.81859,0.69059,0.75673,0.33966,1.58509,0.96938,1.93775,0.00556742,0.00556742,0.00556742
86,4489.95,1.62835,1.48673,1.71866,0.77271,0.68953,0.74363,0.33433,1.65059,0.98356,1.91267,0.00548142,0.00548142,0.00548142
87,4533.36,1.62356,1.52907,1.7034,0.84054,0.67122,0.76627,0.40256,1.56959,1.06721,1.88354,0.00539529,0.00539529,0.00539529
88,4581.41,1.67973,1.51026,1.70048,0.76648,0.64912,0.73079,0.33889,1.63901,1.04258,1.90904,0.00530906,0.00530906,0.00530906
89,4626.11,1.61404,1.48106,1.70154,0.83957,0.61377,0.75946,0.37687,1.64594,1.05427,1.91519,0.00522275,0.00522275,0.00522275
