epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.943,2.19563,3.74655,2.08907,0.32281,0.30299,0.24152,0.07303,2.0018,2.81899,2.23446,0.00329932,0.00329932,0.0703061
2,456.669,2.05479,2.7937,1.9267,0.50831,0.51695,0.44827,0.13735,2.06881,3.20383,2.3129,0.00663193,0.00663193,0.0403054
3,498.14,2.12661,2.66683,2.08299,0.03318,0.04237,0.00607,0.00136,3.45328,16.6424,3.7884,0.00996166,0.00996166,0.0103018
4,539.289,2.22973,2.63459,2.17093,0.04792,0.27966,0.034,0.00845,2.51653,26.3866,3.26751,0.00999023,0.00999023,0.00999023
5,579.952,2.24667,2.5792,2.15761,0.14655,0.16949,0.10857,0.02541,2.54558,7.32089,3.70691,0.00998264,0.00998264,0.00998264
6,621.205,2.13511,2.3925,2.15248,0.09792,0.05932,0.04074,0.01615,2.51882,12.9952,2.90388,0.00997288,0.00997288,0.00997288
7,665.469,2.14731,2.30829,2.14394,0.51891,0.4322,0.39744,0.11271,2.12224,2.54225,2.49909,0.00996097,0.00996097,0.00996097
8,707.142,2.06755,2.15699,2.08524,0.51842,0.41968,0.37345,0.10121,2.52938,4.08606,3.05973,0.0099469,0.0099469,0.0099469
9,748.504,2.11094,2.14127,2.05041,0.61238,0.34746,0.42417,0.11453,2.21551,3.19535,2.54041,0.00993068,0.00993068,0.00993068
10,788.997,1.99572,2.03855,2.02714,0.23295,0.20339,0.15796,0.05831,2.33655,5.00178,3.01589,0.00991232,0.00991232,0.00991232
11,832.627,1.99901,2.04097,2.04255,0.45787,0.46525,0.40939,0.13533,1.99526,2.04338,2.35105,0.00989183,0.00989183,0.00989183
12,873.969,2.02955,1.96367,2.039,0.42557,0.55085,0.39267,0.12952,2.17691,2.60148,2.44053,0.00986922,0.00986922,0.00986922
13,914.273,1.93441,1.96957,2.0397,0.56347,0.5,0.47892,0.14412,2.20025,2.27697,2.66616,0.00984449,0.00984449,0.00984449
14,954.074,1.98478,1.92273,1.95906,0.35007,0.45763,0.34485,0.12318,1.98882,2.07039,2.28758,0.00981765,0.00981765,0.00981765
15,997.792,1.97685,1.91906,2.03573,0.56901,0.51468,0.5222,0.15965,2.26219,1.90946,2.39139,0.00978873,0.00978873,0.00978873
16,1037.44,2.0066,1.90711,1.95973,0.38374,0.58576,0.4798,0.16375,1.97278,2.93758,2.27822,0.00975773,0.00975773,0.00975773
17,1079.92,1.90699,1.90855,1.97489,0.51026,0.55085,0.51839,0.15844,2.09875,1.74481,2.31694,0.00972466,0.00972466,0.00972466
18,1121.01,1.93603,1.87282,1.98982,0.64228,0.5,0.56288,0.21323,1.99844,1.65917,2.36703,0.00968955,0.00968955,0.00968955
19,1163.87,1.92038,1.85082,1.98591,0.68396,0.55932,0.60762,0.22431,1.9427,1.57177,2.17318,0.00965239,0.00965239,0.00965239
20,1207.18,1.94413,1.87241,1.97497,0.81744,0.45537,0.60318,0.16746,2.08929,1.63369,2.34698,0.00961322,0.00961322,0.00961322
21,1249.16,1.96464,1.87762,1.95372,0.66302,0.41525,0.53015,0.20144,2.02591,1.6074,2.19877,0.00957205,0.00957205,0.00957205
22,1288.5,1.9375,1.76559,1.85942,0.68124,0.56146,0.62077,0.18683,2.02913,1.95961,2.26353,0.00952889,0.00952889,0.00952889
23,1327.64,1.83154,1.75092,1.92795,0.71183,0.51695,0.63979,0.21077,2.18073,1.55857,2.37911,0.00948377,0.00948377,0.00948377
24,1370.73,1.87216,1.78714,1.89833,0.63897,0.57627,0.56388,0.21202,1.90583,1.42675,2.12535,0.00943671,0.00943671,0.00943671
25,1412.88,1.85512,1.75863,1.93032,0.57817,0.64407,0.65702,0.25659,1.93402,1.42213,2.09982,0.00938772,0.00938772,0.00938772
26,1457.27,1.81048,1.75815,1.95214,0.65092,0.61631,0.58743,0.1981,2.06074,1.52128,2.44113,0.00933683,0.00933683,0.00933683
27,1500.17,1.81555,1.68426,1.90525,0.62274,0.57627,0.60303,0.23797,2.01343,1.328,2.18544,0.00928405,0.00928405,0.00928405
28,1538.39,1.84538,1.74932,1.89854,0.74085,0.60569,0.68389,0.25087,1.99479,1.36124,2.23804,0.00922942,0.00922942,0.00922942
29,1580.29,1.89482,1.74169,1.90551,0.5624,0.58814,0.5808,0.19909,2.09301,1.64745,2.39214,0.00917296,0.00917296,0.00917296
30,1625.62,1.83109,1.71177,1.89597,0.75706,0.5282,0.65597,0.22122,2.01147,1.38111,2.26195,0.00911469,0.00911469,0.00911469
31,1667.26,1.85445,1.7084,1.89586,0.64023,0.71186,0.69163,0.25489,1.87549,1.42077,2.02617,0.00905463,0.00905463,0.00905463
32,1707.52,1.82862,1.64981,1.84985,0.72796,0.63496,0.65562,0.21272,2.04769,1.50039,2.27217,0.00899282,0.00899282,0.00899282
33,1748.38,1.89547,1.69105,1.85578,0.71928,0.65144,0.71989,0.25656,1.87394,1.2304,2.12957,0.00892928,0.00892928,0.00892928
34,1790.35,1.82361,1.62948,1.86092,0.7816,0.70339,0.7425,0.2769,1.88526,1.22407,2.12099,0.00886404,0.00886404,0.00886404
35,1832.41,1.80389,1.64784,1.83949,0.58947,0.76662,0.69542,0.26566,1.9057,1.39463,2.13447,0.00879713,0.00879713,0.00879713
36,1871.45,1.78253,1.6238,1.8564,0.73457,0.65254,0.70875,0.24987,1.85165,1.32988,2.08359,0.00872857,0.00872857,0.00872857
37,1913.4,1.80677,1.60385,1.83327,0.76968,0.50979,0.6676,0.24165,2.01091,1.3644,2.17287,0.00865839,0.00865839,0.00865839
38,1956.15,1.83417,1.65765,1.84122,0.73401,0.63559,0.66382,0.25309,1.92551,1.32429,2.18976,0.00858664,0.00858664,0.00858664
39,1996.14,1.76549,1.61226,1.81231,0.78907,0.66102,0.74446,0.29546,1.81862,1.21587,2.02913,0.00851333,0.00851333,0.00851333
40,2037.45,1.78919,1.61434,1.82533,0.66982,0.61017,0.63781,0.21146,2.14019,1.49323,2.36296,0.00843851,0.00843851,0.00843851
41,2078.35,1.85856,1.59743,1.83168,0.7799,0.62712,0.71683,0.24985,1.99765,1.26803,2.2214,0.0083622,0.0083622,0.0083622
42,2117.88,1.75971,1.54166,1.82266,0.79313,0.71484,0.77463,0.28734,1.87044,1.18824,2.09379,0.00828443,0.00828443,0.00828443
