epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9943,1.95326,2.94829,2.33703,0.00352,1,0.20509,0.06313,1.48519,3.18202,2.05922,0.0004,0.0004,0.0964
2,36.6995,2.07745,3.05006,2.52792,0.00352,1,0.17732,0.05786,1.42879,3.1886,2.04351,0.000899902,0.000899902,0.0918999
3,39.3,1.93406,2.94502,2.32164,0.00352,1,0.16245,0.06003,1.41511,3.261,2.09471,0.00139939,0.00139939,0.0873994
4,42.3786,1.70618,2.81848,2.18049,0.00352,1,0.19987,0.0899,1.78564,3.59708,2.55824,0.00189814,0.00189814,0.0828981
5,46.4478,1.50809,2.65188,2.03814,0.00315,0.89474,0.27254,0.06937,1.98369,3.71519,2.73331,0.00239583,0.00239583,0.0783958
6,49.8894,1.35548,2.47495,1.88814,0.00315,0.89474,0.46517,0.15909,1.95869,3.49042,2.62462,0.00289214,0.00289214,0.0738921
7,53.1191,1.25888,2.22285,1.7558,0.00315,0.89474,0.6348,0.3193,1.74058,3.41722,2.39074,0.00338673,0.00338673,0.0693867
8,56.3302,1.21958,1.97698,1.69012,0.00594,0.89474,0.35643,0.16115,1.78863,2.944,2.46369,0.00387929,0.00387929,0.0648793
9,59.6111,1.22904,1.75604,1.68631,0.006,0.94737,0.46656,0.19097,1.75569,2.85252,2.41719,0.0043695,0.0043695,0.0603695
10,63.5378,1.27837,1.74664,1.70216,0.54753,0.51016,0.47288,0.21717,1.67158,2.72446,2.36605,0.00485704,0.00485704,0.055857
11,66.8444,1.2395,1.66615,1.66217,0.55926,0.20156,0.52632,0.19152,1.89335,2.6993,2.56692,0.00534159,0.00534159,0.0513416
12,69.5981,1.21654,1.61362,1.69565,0.69753,0.26316,0.51515,0.17938,1.9091,2.59532,2.63412,0.00582284,0.00582284,0.0468228
13,72.3127,1.25254,1.57497,1.64185,0.78747,0.42105,0.53047,0.18019,2.18493,2.41667,3.12447,0.00630047,0.00630047,0.0423005
14,75.1291,1.23476,1.51009,1.67507,0.54234,0.43731,0.39871,0.11744,2.12659,2.49326,3.16005,0.00677418,0.00677418,0.0377742
15,78.9095,1.24284,1.4766,1.66903,0.18446,0.21053,0.20218,0.09895,2.36693,2.53553,3.1655,0.00724366,0.00724366,0.0332437
16,82.8101,1.23994,1.44105,1.70517,0.53729,0.21053,0.2902,0.08752,2.33538,2.56762,3.44993,0.00770861,0.00770861,0.0287086
17,85.5336,1.27098,1.45677,1.71317,0.61404,0.42105,0.48365,0.14023,2.26098,2.54402,3.64132,0.00816872,0.00816872,0.0241687
18,88.2344,1.2588,1.44859,1.68659,0.28878,0.42105,0.24839,0.07056,2.71338,3.01075,5.14185,0.0086237,0.0086237,0.0196237
19,91.2243,1.29323,1.4032,1.69927,0.43177,0.31579,0.25652,0.06906,2.44435,2.51251,3.89243,0.00907325,0.00907325,0.0150732
20,94.5888,1.31022,1.36693,1.72052,0.39226,0.31579,0.3067,0.08348,2.36944,2.49212,3.88329,0.00951709,0.00951709,0.0105171
21,98.1794,1.32607,1.41162,1.77042,0.22816,0.42105,0.21297,0.05251,2.28679,2.61445,3.98893,0.00957205,0.00957205,0.00957205
22,101.166,1.30246,1.31941,1.70209,0.41852,0.63158,0.41035,0.11174,2.27611,2.47795,4.75182,0.00952889,0.00952889,0.00952889
23,103.852,1.38039,1.37342,1.78201,0.4676,0.36842,0.35931,0.09528,2.74423,2.54518,5.05133,0.00948377,0.00948377,0.00948377
24,106.764,1.35082,1.43089,1.77721,0.72457,0.55475,0.56716,0.15695,2.22487,2.21038,3.69329,0.00943671,0.00943671,0.00943671
25,110.215,1.38757,1.39986,1.7675,0.50035,0.36842,0.3503,0.11673,2.10737,2.31351,3.52811,0.00938772,0.00938772,0.00938772
26,114.123,1.29116,1.31243,1.73158,0.55287,0.5209,0.43028,0.10525,2.28843,2.28914,3.82253,0.00933683,0.00933683,0.00933683
27,117.026,1.34185,1.29845,1.76747,0.55828,0.26316,0.31563,0.08192,2.39979,2.51995,4.20464,0.00928405,0.00928405,0.00928405
28,119.904,1.28569,1.26415,1.70958,0.50848,0.52632,0.46071,0.16858,2.3099,2.75285,4.92531,0.00922942,0.00922942,0.00922942
29,122.715,1.32206,1.32126,1.71995,0.36952,0.47368,0.33906,0.09951,2.49392,3.2755,4.85464,0.00917296,0.00917296,0.00917296
30,126.009,1.34882,1.26178,1.73493,0.24743,0.43288,0.21933,0.05579,2.6708,3.77816,5.36412,0.00911469,0.00911469,0.00911469
31,130.76,1.30083,1.20603,1.68611,0.63123,0.52632,0.49551,0.12244,2.571,2.60972,4.24966,0.00905463,0.00905463,0.00905463
32,133.896,1.26406,1.20067,1.67934,0.61493,0.63158,0.49341,0.109,2.67029,2.20833,5.07611,0.00899282,0.00899282,0.00899282
33,136.636,1.31,1.17523,1.70122,0.2635,0.36842,0.20746,0.06212,2.8015,2.45713,4.61571,0.00892928,0.00892928,0.00892928
34,139.371,1.2628,1.16687,1.69987,0.4646,0.63158,0.34231,0.08491,2.82481,2.64581,6.68963,0.00886404,0.00886404,0.00886404
35,143.051,1.27153,1.12857,1.68771,0.75843,0.68421,0.704,0.20008,2.46925,2.13848,6.00615,0.00879713,0.00879713,0.00879713
36,146.814,1.2976,1.18648,1.68794,0.46096,0.63158,0.53135,0.16333,2.60269,2.01254,5.47411,0.00872857,0.00872857,0.00872857
37,149.828,1.28622,1.17181,1.68582,0.51537,0.52632,0.5076,0.14397,2.78168,1.82374,4.38874,0.00865839,0.00865839,0.00865839
38,152.586,1.22289,1.10198,1.61828,0.3191,0.42105,0.30116,0.09381,3.07072,1.85945,4.27046,0.00858664,0.00858664,0.00858664
39,155.267,1.34965,1.13463,1.74452,0.60597,0.63158,0.48556,0.13033,2.61981,1.68966,4.13228,0.00851333,0.00851333,0.00851333
40,158.403,1.22398,1.08224,1.64528,0.54326,0.52632,0.45457,0.19701,2.52772,1.64024,3.31094,0.00843851,0.00843851,0.00843851
41,162.269,1.19981,1.05851,1.64059,0.626,0.31579,0.31702,0.09784,2.79905,2.36191,3.49792,0.0083622,0.0083622,0.0083622
42,165.419,1.20826,1.11151,1.63151,0.08667,0.05263,0.01912,0.00343,3.56038,3.22204,3.80226,0.00828443,0.00828443,0.00828443
43,168.282,1.27249,1.06186,1.67217,0.30904,0.10526,0.07661,0.00801,3.93344,3.27867,4.11703,0.00820525,0.00820525,0.00820525
44,171.184,1.27421,1.11588,1.6576,0.43333,0.10526,0.0571,0.01148,3.78089,3.19298,4.1625,0.00812468,0.00812468,0.00812468
45,174.285,1.25832,1.05661,1.64197,0.24957,0.26316,0.14315,0.04023,3.14712,3.09303,3.90356,0.00804277,0.00804277,0.00804277
46,178.17,1.23931,1.03693,1.63633,0.32697,0.36842,0.17364,0.03755,3.01384,2.79451,4.12326,0.00795954,0.00795954,0.00795954
47,181.676,1.21633,1.01654,1.58321,0.43166,0.26316,0.24661,0.07534,2.67809,3.09757,3.75499,0.00787503,0.00787503,0.00787503
48,184.238,1.24116,1.05775,1.65541,0.28671,0.47368,0.25206,0.10136,2.40924,2.22362,3.23609,0.00778929,0.00778929,0.00778929
49,187.074,1.20009,1.02338,1.57912,0.28954,0.36842,0.26536,0.06072,3.05905,2.46223,3.81921,0.00770234,0.00770234,0.00770234
50,190.025,1.15785,0.97894,1.58173,0.63065,0.21053,0.26549,0.11298,2.87222,2.83044,3.49478,0.00761423,0.00761423,0.00761423
51,193.58,1.17408,1.01075,1.58713,0.41218,0.31579,0.3564,0.13865,2.43291,2.29085,3.16145,0.007525,0.007525,0.007525
52,197.154,1.16197,1.00111,1.60984,0.81522,0.46511,0.54128,0.21674,2.24766,2.03197,3.03844,0.00743468,0.00743468,0.00743468
53,199.99,1.20058,0.99743,1.63004,0.65459,0.59915,0.61303,0.25067,2.26899,1.87075,3.14056,0.00734332,0.00734332,0.00734332
54,202.633,1.12484,0.94348,1.54821,0.61842,0.68421,0.59282,0.22452,2.18834,1.63791,3.11791,0.00725094,0.00725094,0.00725094
55,205.424,1.14628,0.95019,1.55226,0.59926,0.68421,0.60849,0.27797,2.10839,1.5172,3.05731,0.00715761,0.00715761,0.00715761
56,208.702,1.10024,0.90107,1.5523,0.78766,0.78129,0.75541,0.3269,2.20876,1.28517,3.48684,0.00706335,0.00706335,0.00706335
57,212.277,1.13612,0.92291,1.59844,0.74196,0.60619,0.64741,0.25526,2.45853,1.56764,3.79794,0.0069682,0.0069682,0.0069682
58,215.18,1.16925,0.93633,1.56933,0.60514,0.56521,0.54194,0.2804,2.17829,1.37756,3.07675,0.00687222,0.00687222,0.00687222
59,217.919,1.15338,0.90644,1.57361,0.60687,0.63158,0.58497,0.25479,2.33921,1.64627,3.3878,0.00677543,0.00677543,0.00677543
60,220.651,1.07242,0.84781,1.49444,0.76018,0.68421,0.69838,0.33606,2.09569,1.38214,3.19001,0.00667789,0.00667789,0.00667789
61,223.658,1.12703,0.88781,1.56369,0.69497,0.72007,0.72766,0.30413,2.40205,1.27041,3.75635,0.00657963,0.00657963,0.00657963
62,227.702,1.14642,0.92165,1.55494,0.7191,0.57895,0.62644,0.24836,2.39158,1.58395,3.50947,0.00648071,0.00648071,0.00648071
63,230.826,1.16676,0.9384,1.57821,0.85465,0.61965,0.67033,0.22765,2.57718,1.41216,3.8488,0.00638115,0.00638115,0.00638115
64,233.579,1.1447,0.88457,1.55635,0.82197,0.72942,0.74842,0.24631,2.41983,1.38629,3.41023,0.00628101,0.00628101,0.00628101
65,236.281,1.10097,0.84476,1.54629,0.80652,0.73684,0.73924,0.32668,2.16378,1.26099,3.23396,0.00618034,0.00618034,0.00618034
66,239.48,1.16462,0.95694,1.58431,0.67492,0.57895,0.58376,0.17077,2.44041,1.6705,3.21487,0.00607916,0.00607916,0.00607916
67,243.271,1.08977,0.89325,1.53824,0.58534,0.68421,0.6175,0.24165,2.15106,1.51616,3.19804,0.00597754,0.00597754,0.00597754
68,246.312,1.06215,0.84534,1.49446,0.46992,0.68421,0.50705,0.1956,2.26633,1.69758,3.2301,0.00587551,0.00587551,0.00587551
69,249.035,1.06495,0.86836,1.52188,0.64861,0.78947,0.68294,0.27578,2.20074,1.28631,3.3395,0.00577311,0.00577311,0.00577311
70,251.624,1.06624,0.87309,1.52367,0.68672,0.84211,0.76812,0.31535,2.08398,1.21662,3.04216,0.0056704,0.0056704,0.0056704
71,254.714,1.02786,0.79716,1.45982,0.82957,0.76926,0.78464,0.35284,2.09524,1.14343,3.38644,0.00556742,0.00556742,0.00556742
72,258.543,1.0669,0.80851,1.50841,0.89055,0.89474,0.8624,0.38253,2.03958,0.98754,3.49826,0.00546421,0.00546421,0.00546421
73,261.568,1.03056,0.83883,1.48334,0.79947,0.83947,0.79189,0.34311,2.09492,0.97584,3.41672,0.00536081,0.00536081,0.00536081
74,264.58,0.99828,0.7696,1.43342,0.87015,0.78947,0.78265,0.29556,2.3775,1.05164,3.84566,0.00525728,0.00525728,0.00525728
75,267.321,1.09569,0.85381,1.52963,0.87248,0.72092,0.78271,0.30095,2.39943,1.06706,3.69028,0.00515366,0.00515366,0.00515366
76,270.257,1.00121,0.77024,1.44519,0.81949,0.73684,0.79397,0.35262,2.1361,1.04734,3.24853,0.00505,0.00505,0.00505
77,273.586,1.06065,0.80071,1.49913,0.88821,0.83666,0.83804,0.35356,2.04996,1.02625,3.00621,0.00494634,0.00494634,0.00494634
78,277.224,1.02458,0.74614,1.45889,0.91551,0.84211,0.84347,0.33174,2.12902,1.08916,3.03131,0.00484272,0.00484272,0.00484272
79,280.446,1.00163,0.75668,1.47392,0.92638,0.73684,0.81714,0.34156,2.1514,1.24346,3.06532,0.00473919,0.00473919,0.00473919
80,283.12,0.99767,0.77722,1.45645,0.89796,0.63158,0.76037,0.28555,2.35346,1.27498,3.2159,0.00463579,0.00463579,0.00463579
81,285.741,1.02021,0.80049,1.49052,0.86534,0.67685,0.74269,0.28111,2.30525,1.25298,3.38665,0.00453258,0.00453258,0.00453258
82,289.069,0.99237,0.74074,1.46067,0.81572,0.73684,0.73278,0.30684,2.16372,1.24431,3.14327,0.0044296,0.0044296,0.0044296
83,292.704,1.10433,0.81907,1.51236,0.76337,0.67942,0.69852,0.29382,2.18671,1.20902,3.24649,0.00432689,0.00432689,0.00432689
84,295.892,1.01984,0.81286,1.45759,0.73183,0.73684,0.75699,0.32679,2.13609,1.20284,3.05952,0.00422449,0.00422449,0.00422449
85,298.622,0.96979,0.76651,1.44531,0.81929,0.73684,0.72268,0.35014,2.06296,1.14918,3.03393,0.00412246,0.00412246,0.00412246
86,301.371,0.98492,0.73283,1.42168,0.88829,0.83726,0.81208,0.38986,1.83863,1.03056,2.80075,0.00402084,0.00402084,0.00402084
87,304.351,0.96329,0.74668,1.44021,0.88372,0.84211,0.81633,0.39491,1.84173,0.99556,2.75975,0.00391966,0.00391966,0.00391966
88,308.19,1.02571,0.79736,1.48677,0.93594,0.84211,0.8298,0.3714,1.7942,0.92267,2.77085,0.00381899,0.00381899,0.00381899
89,311.275,0.94752,0.71851,1.41883,0.88425,0.84211,0.81492,0.40493,1.7224,0.85276,2.61306,0.00371885,0.00371885,0.00371885
90,313.963,0.96774,0.77253,1.43763,0.88404,0.84211,0.84325,0.44805,1.73143,0.91515,2.67742,0.00361929,0.00361929,0.00361929
91,316.844,0.98676,0.70905,1.43498,0.94075,0.83605,0.84507,0.44395,1.63201,0.90289,2.52296,0.00352037,0.00352037,0.00352037
92,319.826,0.94548,0.6867,1.40212,0.8819,0.7862,0.77947,0.37697,1.83138,1.00852,2.70888,0.00342211,0.00342211,0.00342211
93,323.456,0.95289,0.72389,1.40883,0.82603,0.78947,0.71833,0.37455,1.81525,0.99216,2.59894,0.00332457,0.00332457,0.00332457
94,326.781,0.98106,0.72319,1.46927,0.81904,0.73684,0.66157,0.36998,1.92651,0.90945,2.89696,0.00322778,0.00322778,0.00322778
95,329.763,0.98472,0.70102,1.40518,0.88146,0.7831,0.77317,0.38707,1.96903,0.92162,2.8614,0.0031318,0.0031318,0.0031318
96,332.58,0.88601,0.67371,1.38101,0.7821,0.78947,0.68541,0.37686,1.98412,1.04772,2.92417,0.00303665,0.00303665,0.00303665
97,335.383,0.94091,0.7216,1.41974,0.77205,0.73684,0.65668,0.35328,1.97739,1.0741,2.89381,0.00294239,0.00294239,0.00294239
98,338.771,0.89799,0.66143,1.36543,0.71019,0.77437,0.65669,0.34767,1.87167,1.20838,2.63496,0.00284906,0.00284906,0.00284906
99,342.177,0.91528,0.7019,1.37774,0.75782,0.68421,0.69101,0.32987,1.90445,1.25841,2.72719,0.00275668,0.00275668,0.00275668
100,344.942,0.94599,0.70885,1.4324,0.79506,0.81742,0.7738,0.38554,1.84273,1.16076,2.59833,0.00266532,0.00266532,0.00266532
