epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1828,1.96499,4.8079,2.34982,0.00093,1,0.10315,0.05768,0.5343,14.7529,0.91543,0.0014,0.0014,0.0874
2,44.9807,1.35345,3.50486,1.95171,0.00088,0.94737,0.27954,0.1117,0.91051,7.28018,1.26586,0.00289969,0.00289969,0.0738997
3,53.868,1.3125,2.8832,1.79188,0.00093,1,0.06684,0.02348,0.99715,5.40377,1.56816,0.00439809,0.00439809,0.0603981
4,61.6657,1.4242,2.36717,1.87128,0.13441,0.21053,0.19026,0.07089,1.25859,5.59457,1.88115,0.00589424,0.00589424,0.0468942
5,70.7887,1.44207,2.45244,1.852,0.38827,0.26753,0.29217,0.11588,0.9962,5.36227,1.65217,0.00738715,0.00738715,0.0333872
6,78.6401,1.59627,2.33013,2.02481,0.21538,0.21053,0.09901,0.01922,1.38345,12.5158,2.26318,0.00887587,0.00887587,0.0198759
7,88.1124,1.63506,2.67555,1.97166,0.01464,0.15789,0.01494,0.00349,1.39233,10.1823,2.1194,0.00996097,0.00996097,0.00996097
8,96.0358,1.64962,2.22096,2.04214,0.00418,0.05263,0.00167,0.00026,1.99417,6.80279,3.04758,0.0099469,0.0099469,0.0099469
9,104.732,1.72873,2.26389,2.13445,0.12499,0.42105,0.08744,0.01772,1.22397,18.8623,3.091,0.00993068,0.00993068,0.00993068
10,113.565,1.72089,2.1132,2.08815,0.03854,0.21053,0.01189,0.00197,1.79526,22.4226,2.77699,0.00991232,0.00991232,0.00991232
11,121.783,1.77877,2.12747,2.11728,0.02049,0.10526,0.00672,0.00106,1.68948,89.7537,2.58926,0.00989183,0.00989183,0.00989183
12,131.354,1.72007,2.04283,2.10987,0.5,0.05263,0.04492,0.0167,1.91095,39.3243,3.3405,0.00986922,0.00986922,0.00986922
13,138.589,1.6834,1.92321,2.07839,0.07811,0.10526,0.03439,0.00747,1.83533,11.5899,3.82482,0.00984449,0.00984449,0.00984449
14,148.149,1.64533,1.9109,2.039,0.06536,0.10526,0.0213,0.00705,1.53643,11.6998,2.3381,0.00981765,0.00981765,0.00981765
15,155.804,1.73125,1.91301,2.04106,0.0267,0.26316,0.01605,0.00376,1.5823,15.525,1.91028,0.00978873,0.00978873,0.00978873
16,165.419,1.52558,2.2606,1.89323,0.00093,0.10526,0.00015,2e-05,1.687,2.22483,2.5959,0.00975773,0.00975773,0.00975773
17,172.88,1.54731,1.85492,1.97347,0.01458,0.15789,0.005,0.00133,1.58129,21.9978,3.11959,0.00972466,0.00972466,0.00972466
18,182.318,1.5951,1.66242,1.97377,0.1318,0.10526,0.0478,0.00739,1.43296,3.58877,2.01153,0.00968955,0.00968955,0.00968955
19,190.727,1.68156,1.72194,2.04063,0.0628,0.21053,0.04088,0.00843,1.40872,14.5906,1.92457,0.00965239,0.00965239,0.00965239
20,199.117,1.62353,1.70566,1.96696,0.09982,0.31579,0.07199,0.01504,1.28768,2.44217,1.95853,0.00961322,0.00961322,0.00961322
21,207.961,1.48859,1.52488,1.90202,0.18411,0.31579,0.1414,0.02744,1.34712,5.1188,1.87556,0.00957205,0.00957205,0.00957205
22,216.212,1.63273,1.63722,2.04808,0.39654,0.05263,0.03156,0.00945,1.63627,1.70693,1.91806,0.00952889,0.00952889,0.00952889
23,225.846,1.53577,1.58718,1.91708,0.25366,0.15789,0.08359,0.02455,1.26958,1.85943,1.70714,0.00948377,0.00948377,0.00948377
24,233.438,1.61155,1.55169,1.9868,0.39354,0.26316,0.17407,0.0454,1.25192,1.66682,1.84256,0.00943671,0.00943671,0.00943671
25,242.736,1.53561,1.47587,1.88043,0.54085,0.26316,0.24497,0.11392,1.2539,1.09626,1.64199,0.00938772,0.00938772,0.00938772
26,250.823,1.55757,1.51513,1.92785,0.13795,0.31172,0.06138,0.01554,1.80189,10.5936,4.13661,0.00933683,0.00933683,0.00933683
27,260.074,1.53056,1.4511,1.91702,0.02905,0.47368,0.0154,0.00297,1.67223,11.4166,3.12136,0.00928405,0.00928405,0.00928405
28,267.922,1.56012,1.50199,1.91327,0.06898,0.10526,0.0314,0.0077,1.66032,7.53797,2.84709,0.00922942,0.00922942,0.00922942
29,277.339,1.4874,1.48666,1.85897,0.00511,0.31579,0.00753,0.00143,1.54883,2.10962,2.4774,0.00917296,0.00917296,0.00917296
30,285.658,1.53093,1.48894,1.8806,0.4199,0.47368,0.33836,0.10883,1.48749,3.14399,2.52751,0.00911469,0.00911469,0.00911469
31,294.331,1.55786,1.40181,1.89112,0.38073,0.42105,0.28061,0.04765,1.43963,7.0525,2.09871,0.00905463,0.00905463,0.00905463
32,303.28,1.59699,1.41825,1.91257,0.27354,0.31579,0.1815,0.06446,1.34348,2.89282,1.79492,0.00899282,0.00899282,0.00899282
33,311.691,1.52084,1.45839,1.8822,0.5586,0.36842,0.44343,0.16768,1.27538,2.74642,1.75426,0.00892928,0.00892928,0.00892928
34,321.035,1.52879,1.34547,1.93255,0.61216,0.47368,0.46858,0.19961,1.2698,0.96765,2.00445,0.00886404,0.00886404,0.00886404
35,329.313,1.44662,1.32162,1.82316,0.50916,0.60112,0.55043,0.17161,1.18915,1.52232,1.79428,0.00879713,0.00879713,0.00879713
36,339.467,1.49681,1.38691,1.89448,0.71449,0.26316,0.39321,0.14595,1.21316,1.17291,1.61737,0.00872857,0.00872857,0.00872857
37,348.465,1.45295,1.41195,1.85894,0.87404,0.05263,0.07752,0.02294,1.72586,1.7408,2.21834,0.00865839,0.00865839,0.00865839
38,358.976,1.54084,1.40604,1.85544,0.70348,0.57895,0.66971,0.17064,1.29497,1.01643,1.77481,0.00858664,0.00858664,0.00858664
39,367.876,1.437,1.42624,1.82971,0.31095,0.21053,0.12578,0.03542,1.59733,1.32771,2.54482,0.00851333,0.00851333,0.00851333
40,376.042,1.52046,1.42262,1.88833,0.5551,0.42105,0.38584,0.1556,1.37417,0.95276,1.81493,0.00843851,0.00843851,0.00843851
41,385.398,1.50325,1.34278,1.88511,0.73973,0.36842,0.40209,0.16438,1.28797,0.9781,1.70073,0.0083622,0.0083622,0.0083622
42,393.163,1.42564,1.31483,1.8069,0.61548,0.63158,0.53402,0.17901,1.23392,0.96758,1.62072,0.00828443,0.00828443,0.00828443
43,402.632,1.47565,1.26799,1.89428,0.69532,0.42105,0.39367,0.15707,1.37609,0.88452,1.87532,0.00820525,0.00820525,0.00820525
44,410.507,1.51885,1.34197,1.87873,0.73266,0.57895,0.58949,0.1529,1.42791,2.73203,1.95239,0.00812468,0.00812468,0.00812468
45,420.371,1.45915,1.26811,1.8178,0.41905,0.57895,0.42816,0.17607,1.17982,1.18981,1.73253,0.00804277,0.00804277,0.00804277
46,427.972,1.4078,1.29983,1.79648,0.67906,0.36842,0.44436,0.15021,1.23506,1.11347,1.75091,0.00795954,0.00795954,0.00795954
47,437.314,1.49535,1.31051,1.83987,0.49008,0.31579,0.26657,0.08052,1.31668,2.2243,1.83223,0.00787503,0.00787503,0.00787503
48,445.65,1.4846,1.23887,1.83197,0.51441,0.50251,0.41353,0.13561,1.24861,1.48432,1.71193,0.00778929,0.00778929,0.00778929
49,454.241,1.4677,1.31652,1.80907,0.82898,0.57895,0.6013,0.17676,1.35997,0.89701,1.77271,0.00770234,0.00770234,0.00770234
50,463.303,1.49739,1.26852,1.83724,0.77113,0.52632,0.56985,0.17011,1.35415,0.78159,1.74917,0.00761423,0.00761423,0.00761423
51,471.247,1.41229,1.17967,1.78517,0.64738,0.15789,0.19429,0.08351,1.23744,1.65757,1.65052,0.007525,0.007525,0.007525
52,481.022,1.44898,1.22218,1.79371,0.95995,0.63158,0.75201,0.22707,1.18259,0.75542,1.69856,0.00743468,0.00743468,0.00743468
53,488.663,1.45745,1.18745,1.78491,0.73259,0.73684,0.71038,0.24638,1.18621,0.77847,1.72993,0.00734332,0.00734332,0.00734332
54,497.938,1.39324,1.19714,1.74849,0.08511,0.21053,0.04518,0.00955,1.52415,2.05721,2.51492,0.00725094,0.00725094,0.00725094
55,506.079,1.42781,1.25399,1.79052,0.04545,0.10526,0.00693,0.00159,1.31645,2.40335,2.09307,0.00715761,0.00715761,0.00715761
56,514.78,1.36741,1.17816,1.75194,0.175,0.36842,0.17159,0.04665,1.23391,2.2749,1.89568,0.00706335,0.00706335,0.00706335
57,523.965,1.36017,1.16535,1.74894,0.73689,0.44332,0.52727,0.17391,1.12662,1.26141,1.59919,0.0069682,0.0069682,0.0069682
58,532.184,1.37585,1.25539,1.77314,0.63551,0.45961,0.3592,0.1098,1.22866,1.20096,1.66813,0.00687222,0.00687222,0.00687222
59,541.713,1.41533,1.16225,1.7958,0.60912,0.68421,0.58289,0.19219,1.24994,0.91189,1.82027,0.00677543,0.00677543,0.00677543
